            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  4.433073704330527E+09, -5.258239431824617E+08, -3.255977893520578E+08,  7.124331647995545E-01,  5.034155836457714E+00,  2.043728534828500E+00,  1.493035543402818E+04,  4.476007954380966E+09, -3.446026863741991E-02,
2459581.500000000, A.D. 2022-Jan-02 00:00:00.0000,  4.433135268423562E+09, -5.253889708797899E+08, -3.254212200931427E+08,  7.126275876321805E-01,  5.034566399109078E+00,  2.043384962212055E+00,  1.493034561255772E+04,  4.476005009978193E+09, -3.371131052282469E-02,
2459582.500000000, A.D. 2022-Jan-03 00:00:00.0000,  4.433196829323785E+09, -5.249539882236740E+08, -3.252447074031003E+08,  7.122556345044065E-01,  5.034385534560803E+00,  2.042552532066680E+00,  1.493033595724945E+04,  4.476002115389595E+09, -3.341838114944686E-02,
2459583.500000000, A.D. 2022-Jan-04 00:00:00.0000,  4.433258322210870E+09, -5.245190392348333E+08, -3.250682545133547E+08,  7.110943572223006E-01,  5.033874792472616E+00,  2.042140738858969E+00,  1.493032627192823E+04,  4.475999211803341E+09, -3.389931745175505E-02,
2459584.500000000, A.D. 2022-Jan-05 00:00:00.0000,  4.433319700195972E+09, -5.240841266159112E+08, -3.248917986374925E+08,  7.097396679421223E-01,  5.033636677225585E+00,  2.042621302887510E+00,  1.493031638746901E+04,  4.475996248517014E+09, -3.466873746130247E-02,
2459585.500000000, A.D. 2022-Jan-06 00:00:00.0000,  4.433380982998575E+09, -5.236492089781498E+08, -3.247152761833387E+08,  7.089887016858515E-01,  5.033990753870386E+00,  2.043539413537752E+00,  1.493030633743232E+04,  4.475993235591814E+09, -3.494123111435273E-02,
2459586.500000000, A.D. 2022-Jan-07 00:00:00.0000,  4.433442236504333E+09, -5.232142437954739E+08, -3.245386887679052E+08,  7.090104763934740E-01,  5.034642470256900E+00,  2.043987482379957E+00,  1.493029632332729E+04,  4.475990233438652E+09, -3.444884149362865E-02,
2459587.500000000, A.D. 2022-Jan-08 00:00:00.0000,  4.433503504342750E+09, -5.227792315959039E+08, -3.243621015593293E+08,  7.091710999677199E-01,  5.034987517238792E+00,  2.043545649877612E+00,  1.493028650533134E+04,  4.475987290077512E+09, -3.371839558902979E-02,
2459588.500000000, A.D. 2022-Jan-09 00:00:00.0000,  4.433564762627171E+09, -5.223442154140314E+08, -3.241855756283983E+08,  7.086943224554841E-01,  5.034740827246966E+00,  2.042717970170664E+00,  1.493027683607648E+04,  4.475984391307831E+09, -3.352229578958484E-02,
2459589.500000000, A.D. 2022-Jan-10 00:00:00.0000,  4.433625944726917E+09, -5.219092361437655E+08, -3.240091045454507E+08,  7.074659637731218E-01,  5.034232871016655E+00,  2.042410179457700E+00,  1.493026710974143E+04,  4.475981475425939E+09, -3.407803952818624E-02,
2459590.500000000, A.D. 2022-Jan-11 00:00:00.0000,  4.433687010475234E+09, -5.214742900738476E+08, -3.238326210577068E+08,  7.061518616882360E-01,  5.034063995077370E+00,  2.042987146799931E+00,  1.493025717586977E+04,  4.475978497326138E+09, -3.482244029049519E-02,
2459591.500000000, A.D. 2022-Jan-12 00:00:00.0000,  4.433747987845223E+09, -5.210393327696669E+08, -3.236560669208754E+08,  7.055088936970043E-01,  5.034482074906171E+00,  2.043893775292027E+00,  1.493024709554355E+04,  4.475975475320360E+09, -3.499419616856211E-02,
2459592.500000000, A.D. 2022-Jan-13 00:00:00.0000,  4.433808943950382E+09, -5.206043251928947E+08, -3.234794533691939E+08,  7.055967784734254E-01,  5.035126270679052E+00,  2.044233656910349E+00,  1.493023707810937E+04,  4.475972472169147E+09, -3.442710920235512E-02,
2459593.500000000, A.D. 2022-Jan-14 00:00:00.0000,  4.433869915345176E+09, -5.201692742492893E+08, -3.233028494486814E+08,  7.057149830296278E-01,  5.035399086149662E+00,  2.043697872224071E+00,  1.493022726373523E+04,  4.475969529893798E+09, -3.372337560136099E-02,
2459594.500000000, A.D. 2022-Jan-15 00:00:00.0000,  4.433930870118011E+09, -5.197342256188297E+08, -3.231263103437877E+08,  7.051323883328999E-01,  5.035088227835002E+00,  2.042886006932694E+00,  1.493021757799762E+04,  4.475966626182714E+09, -3.362617448032653E-02,
2459595.500000000, A.D. 2022-Jan-16 00:00:00.0000,  4.433991741018620E+09, -5.192992163412363E+08, -3.229498200784242E+08,  7.038448348661470E-01,  5.034588439187061E+00,  2.042685720461716E+00,  1.493020780913681E+04,  4.475963697551918E+09, -3.424974878574237E-02,
2459596.500000000, A.D. 2022-Jan-17 00:00:00.0000,  4.434052495332496E+09, -5.188642363570260E+08, -3.227733081212559E+08,  7.025789086134923E-01,  5.034490210409550E+00,  2.043350010379386E+00,  1.493019782812605E+04,  4.475960705320169E+09, -3.496098566709849E-02,
